rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
13012,5,1660.200000000,34.281190178,1475.000000000,28.434134416,1474.000000000,28.521921394,155.000000000,15.984367363,30.200000000,4.549725266,155.000000000,15.984367363,0.000000000,0.000000000,0.000000000,0.000000000,30.200000000,4.549725266,0.111492753,0.009664280
13178,5,1686.000000000,30.008332176,1500.400000000,23.586012804,1501.600000000,25.363359399,155.000000000,12.429802895,30.600000000,4.219004622,155.000000000,12.429802895,0.000000000,0.000000000,0.000000000,0.000000000,30.600000000,4.219004622,0.110040758,0.006258220
13345,5,1719.600000000,54.802372211,1513.000000000,45.127596878,1512.800000000,44.499438199,172.200000000,20.191582405,34.400000000,2.701851217,172.200000000,20.191582405,0.000000000,0.000000000,0.000000000,0.000000000,34.400000000,2.701851217,0.120046497,0.010166910
13511,5,1735.600000000,32.454583652,1537.200000000,27.151427218,1536.800000000,26.724520576,165.200000000,13.217412757,33.200000000,2.683281573,165.200000000,13.217412757,0.000000000,0.000000000,0.000000000,0.000000000,33.200000000,2.683281573,0.114272857,0.007608529
13677,5,1754.200000000,42.704800667,1542.400000000,29.466930617,1542.200000000,31.427694793,173.800000000,16.543881044,38.000000000,4.301162634,173.800000000,16.543881044,0.000000000,0.000000000,0.000000000,0.000000000,38.000000000,4.301162634,0.120633598,0.007300333
13844,5,1754.000000000,34.734708866,1544.400000000,33.448467827,1542.200000000,34.593351962,171.000000000,6.633249581,38.600000000,5.683308895,171.000000000,6.633249581,0.000000000,0.000000000,0.000000000,0.000000000,38.600000000,5.683308895,0.119523626,0.001849907
14010,5,1798.200000000,38.925570002,1583.800000000,30.621887597,1586.200000000,32.453043001,179.200000000,8.228000972,35.200000000,5.449770637,179.200000000,8.228000972,0.000000000,0.000000000,0.000000000,0.000000000,35.200000000,5.449770637,0.119191864,0.002984764
14176,5,1804.800000000,41.493372965,1584.600000000,34.413660079,1580.600000000,30.088203669,181.800000000,12.617448236,38.400000000,8.018728079,181.800000000,12.617448236,0.000000000,0.000000000,0.000000000,0.000000000,38.400000000,8.018728079,0.121975144,0.005077809
14343,5,1844.800000000,64.036708223,1622.400000000,45.615786741,1626.400000000,44.099886621,183.600000000,17.052858998,38.800000000,4.324349662,183.600000000,17.052858998,0.000000000,0.000000000,0.000000000,0.000000000,38.800000000,4.324349662,0.120384485,0.007182536
14509,5,1832.200000000,15.205262247,1607.400000000,15.142654985,1608.400000000,13.831124322,189.200000000,14.324803664,35.600000000,5.856620186,189.200000000,14.324803664,0.000000000,0.000000000,0.000000000,0.000000000,35.600000000,5.856620186,0.122686837,0.005522688
14676,5,1859.800000000,30.523761236,1625.800000000,29.286515668,1626.200000000,28.569214200,191.200000000,15.610893632,42.800000000,9.230384607,191.200000000,15.610893632,0.000000000,0.000000000,0.000000000,0.000000000,42.800000000,9.230384607,0.125778697,0.011487965
14842,5,1904.400000000,27.070278905,1663.600000000,13.030732903,1663.600000000,14.028542333,201.600000000,10.573551910,39.200000000,4.868264578,201.600000000,10.573551910,0.000000000,0.000000000,0.000000000,0.000000000,39.200000000,4.868264578,0.126379338,0.005819731
15008,5,1898.600000000,66.489096851,1651.800000000,41.433078573,1653.600000000,41.379946834,201.200000000,23.166786570,45.600000000,6.348228099,201.200000000,23.166786570,0.000000000,0.000000000,0.000000000,0.000000000,45.600000000,6.348228099,0.129734530,0.010036300
15175,5,1933.800000000,14.096098751,1679.800000000,17.922053454,1677.200000000,16.649324311,206.000000000,14.265342618,48.000000000,6.204836823,206.000000000,14.265342618,0.000000000,0.000000000,0.000000000,0.000000000,48.000000000,6.204836823,0.131338280,0.008137264
