rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
6855,5,845.000000000,17.291616466,750.200000000,13.349157277,749.000000000,12.288205727,83.800000000,8.467585252,11.000000000,2.549509757,83.800000000,8.467585252,0.000000000,0.000000000,0.000000000,0.000000000,11.000000000,2.549509757,0.112124701,0.007876550
7022,5,921.000000000,20.469489490,809.200000000,14.446452852,808.400000000,13.612494261,96.200000000,11.344602241,15.600000000,4.277849927,96.200000000,11.344602241,0.000000000,0.000000000,0.000000000,0.000000000,15.600000000,4.277849927,0.121286410,0.009485919
7188,5,902.800000000,3.898717738,798.600000000,8.473488066,801.200000000,6.340346994,91.800000000,5.540758071,12.400000000,6.107372594,91.800000000,5.540758071,0.000000000,0.000000000,0.000000000,0.000000000,12.400000000,6.107372594,0.115433796,0.006301435
7355,5,948.600000000,26.149569786,829.600000000,22.142718894,828.800000000,21.241468876,101.000000000,8.031189202,18.000000000,4.123105626,101.000000000,8.031189202,0.000000000,0.000000000,0.000000000,0.000000000,18.000000000,4.123105626,0.125384633,0.009985784
7521,5,957.200000000,27.824449680,832.400000000,23.330237890,832.000000000,28.275431031,110.200000000,6.833739825,14.600000000,2.792848009,110.200000000,6.833739825,0.000000000,0.000000000,0.000000000,0.000000000,14.600000000,2.792848009,0.130350578,0.004613056
7687,5,995.000000000,34.849677186,871.000000000,31.208973069,872.000000000,28.905016866,104.800000000,12.930583900,19.200000000,4.658325880,104.800000000,12.930583900,0.000000000,0.000000000,0.000000000,0.000000000,19.200000000,4.658325880,0.124585905,0.010664810
7854,5,992.400000000,34.033806722,862.800000000,21.603240498,860.200000000,21.879213880,110.200000000,13.682105101,19.400000000,5.856620186,110.200000000,13.682105101,0.000000000,0.000000000,0.000000000,0.000000000,19.400000000,5.856620186,0.130355662,0.010333244
8020,5,988.400000000,55.292856681,864.600000000,39.144603715,864.800000000,38.867724400,110.000000000,17.762319668,13.800000000,3.701351105,110.000000000,17.762319668,0.000000000,0.000000000,0.000000000,0.000000000,13.800000000,3.701351105,0.124807301,0.011187141
8187,5,1038.600000000,22.810085489,906.400000000,23.985412233,906.200000000,22.598672527,116.600000000,9.607288900,15.600000000,5.639148872,116.600000000,9.607288900,0.000000000,0.000000000,0.000000000,0.000000000,15.600000000,5.639148872,0.127318819,0.010119448
8353,5,1083.200000000,32.843568625,926.000000000,23.398717914,925.000000000,22.169799277,136.400000000,9.864076237,20.800000000,3.420526275,136.400000000,9.864076237,0.000000000,0.000000000,0.000000000,0.000000000,20.800000000,3.420526275,0.145007098,0.006692003
8519,5,1093.800000000,28.119388329,941.000000000,19.429359228,942.000000000,19.697715604,128.000000000,13.341664064,24.800000000,2.774887385,128.000000000,13.341664064,0.000000000,0.000000000,0.000000000,0.000000000,24.800000000,2.774887385,0.139575132,0.009462087
8686,5,1115.200000000,41.457206852,954.600000000,34.333656956,953.000000000,32.249030993,136.000000000,4.183300133,24.600000000,3.974921383,136.000000000,4.183300133,0.000000000,0.000000000,0.000000000,0.000000000,24.600000000,3.974921383,0.143972663,0.002937741
8852,5,1129.400000000,45.274717006,967.800000000,24.752777622,967.400000000,26.197328108,137.800000000,17.908098727,23.800000000,7.463243263,137.800000000,17.908098727,0.000000000,0.000000000,0.000000000,0.000000000,23.800000000,7.463243263,0.142618599,0.017063057
9018,5,1147.400000000,26.959228476,982.000000000,16.537835409,982.400000000,15.646085772,141.600000000,11.104053314,23.800000000,7.661592524,141.600000000,11.104053314,0.000000000,0.000000000,0.000000000,0.000000000,23.800000000,7.661592524,0.144025778,0.008559025
9185,5,1164.800000000,39.644671773,988.000000000,35.846896658,991.800000000,35.166745656,149.000000000,11.045361017,27.800000000,3.193743885,149.000000000,11.045361017,0.000000000,0.000000000,0.000000000,0.000000000,27.800000000,3.193743885,0.151802988,0.008656522
9351,5,1195.200000000,39.321749707,1013.200000000,18.992103622,1013.000000000,17.058722109,155.000000000,20.796634343,27.000000000,5.147815070,155.000000000,20.796634343,0.000000000,0.000000000,0.000000000,0.000000000,27.000000000,5.147815070,0.151926109,0.014869194
9518,5,1211.200000000,10.059821072,1019.200000000,8.700574694,1019.000000000,11.916375288,162.000000000,17.677669530,30.000000000,10.000000000,162.000000000,17.677669530,0.000000000,0.000000000,0.000000000,0.000000000,30.000000000,10.000000000,0.158488895,0.008281055
9684,5,1239.000000000,15.459624834,1042.400000000,9.710818709,1044.000000000,9.380831520,165.400000000,7.602631123,31.200000000,6.180614856,165.400000000,7.602631123,0.000000000,0.000000000,0.000000000,0.000000000,31.200000000,6.180614856,0.158639640,0.005404455
9850,5,1257.400000000,16.241921069,1045.400000000,8.111719916,1045.600000000,11.949895397,180.400000000,14.604793734,31.600000000,1.341640786,180.400000000,14.604793734,0.000000000,0.000000000,0.000000000,0.000000000,31.600000000,1.341640786,0.168513748,0.010459167
10017,5,1281.600000000,31.253799769,1072.800000000,31.633842637,1074.200000000,30.161233397,172.600000000,11.013627922,36.200000000,9.364827815,172.600000000,11.013627922,0.000000000,0.000000000,0.000000000,0.000000000,36.200000000,9.364827815,0.162933832,0.012906054
10183,5,1299.400000000,40.783575125,1079.600000000,29.039628097,1081.600000000,27.208454568,179.200000000,13.349157277,40.600000000,4.505552130,179.200000000,13.349157277,0.000000000,0.000000000,0.000000000,0.000000000,40.600000000,4.505552130,0.169029294,0.008587177
10350,5,1284.000000000,36.407416827,1072.400000000,27.573538039,1073.400000000,25.715753926,176.400000000,7.300684899,35.200000000,5.167204273,176.400000000,7.300684899,0.000000000,0.000000000,0.000000000,0.000000000,35.200000000,5.167204273,0.164744035,0.003763999
10516,5,1352.200000000,35.527454173,1109.800000000,16.828547174,1108.600000000,20.452383724,199.600000000,21.232051243,42.800000000,10.940749517,199.600000000,21.232051243,0.000000000,0.000000000,0.000000000,0.000000000,42.800000000,10.940749517,0.178932166,0.019024588
